author,comment,likes,published_at,updated_at
@bakolpentolmotovlog1227,"KOMINFO "" KULO PON ANGKAT TANGAN..DATA WES AJUR AJURAN"" 🗿🗿🗿",1,2025-10-09T22:41:02Z,2025-10-09T22:41:02Z
@bakolpentolmotovlog1227,PUNK 🤣🤣🤣🤣🤣🤣🗿🗿🗿🗿🗿🤟🤟🤟🤟,0,2025-10-09T22:36:50Z,2025-10-09T22:36:50Z
@jinggoarum5875,Kasi masukan ke PK wowo om ded...kan anda orang nya Prabowo...biar hacker di kasih panggung yg resmi legal...,0,2025-10-09T22:32:33Z,2025-10-09T22:32:33Z
@jinggoarum5875,"Bukan dikadalin,emang polisi pingin dinilai rakyat berhasil dg segala cara...salah satu nya sembarang tangkap",0,2025-10-09T22:17:25Z,2025-10-09T22:17:25Z
@maspras9899,Kasus vina cirebon aja yang sudah pasti ada saksi nya masih belum terungkap,0,2025-10-09T22:10:56Z,2025-10-09T22:10:56Z
@AmirMR96,Parah kepolisian Indonesia disepelekan dengan ciutan-ciutan ringan yg buat lelucon ringan sesuai kinerjanya mreka 😢😂,0,2025-10-09T21:56:09Z,2025-10-09T21:56:09Z
@AjengTriastuti-x1n,Kalo jaman dulu mah virus. Mereka yg bikin anti virus padahal virusnya mereka juga yg buat. Orang ketiga bisa aja bermain kaya gitu,0,2025-10-09T21:55:17Z,2025-10-09T21:55:17Z
@laimpo3740,Bikin malu polisi Konoha ga ada hargadirinya,0,2025-10-09T21:21:44Z,2025-10-09T21:21:44Z
@IrvanSatria,54:58 tambahan klo kita di hide status sama orang pun masih bisa keliatan,0,2025-10-09T21:04:36Z,2025-10-09T21:04:36Z
@hendigusman6111,sudah di encrypt cuman private key nya di kiloin trus ada di bungkus tempe,0,2025-10-09T21:02:19Z,2025-10-09T21:02:19Z
@DEDENMALIK,Apakah polri masih berguna  bagi masyarakat  ?,0,2025-10-09T20:37:04Z,2025-10-09T20:37:04Z
@dev.ebyuidi,"gak usah jadi it lah, saingannya banyak, karena gak ada karir ujung2nya kriminal dan pasti ketangkep",0,2025-10-09T20:15:48Z,2025-10-09T20:15:48Z
@pastibisaofficial6913,Ini lagi pada bahas aku yaa,0,2025-10-09T20:10:36Z,2025-10-09T20:10:36Z
@ARIELLL-d9z,Ceritanya sangat menarik🌸𝗦𝗜𝗡𝗗𝗘𝗡𝟰𝗗🌸selalu jadi yang terbaik👍🏻,0,2025-10-09T20:03:33Z,2025-10-09T20:03:33Z
@Gamabunta-p9f,Polri ga malu...😂,0,2025-10-09T20:02:30Z,2025-10-09T20:02:30Z
@thepumkins8065,mungkin bjorka malah ikutan komen dimari dah malahan 😆,0,2025-10-09T19:46:33Z,2025-10-09T19:46:33Z
@ORANGPINGGIRAN46,GW JUGA TAU BRO KEMARIN BJORKA BELI NASGOR DI WARUNG GW,0,2025-10-09T19:34:33Z,2025-10-09T19:34:33Z
@DLuffy-y1x,Gak mngkin Bjorka ketangkep 😂,0,2025-10-09T19:34:04Z,2025-10-09T19:34:04Z
@adabaimuwais,"Saya 100% percaya pada kepolisan indonesia.



Kalau mau masuk jadi anggota. Dipastikan bayar ratusan juta.
Saya percaya itu 😊",0,2025-10-09T19:32:56Z,2025-10-09T19:32:56Z
@m.bambangsamsudin2540,Saya dah duga...polisi cari tumbal,0,2025-10-09T19:26:28Z,2025-10-09T19:26:28Z
@doni_Like,"Mabes berarti gak pinter"" Bgt ya bang?",0,2025-10-09T19:09:51Z,2025-10-09T19:09:51Z
@mymusickakaoyeoja,"Ciri bjorka itu,, kalau ngomong PAKE KATA ""jamboed²"" 😂",0,2025-10-09T19:00:26Z,2025-10-09T19:00:26Z
@jemong27,Pengalihan isu sih inmh,0,2025-10-09T18:59:09Z,2025-10-09T18:59:09Z
