comment,case_folding,cleansing,normalized_reviews,tokenizing,stopwords_removed
saya bukan bjorka pak polisi jangan tangkap saya ya 😂,saya bukan bjorka pak polisi jangan tangkap saya ya 😂,saya bukan bjorka pak polisi jangan tangkap saya ya,saya bukan bjorka pak polisi jangan tangkap saya ya,"['saya', 'bukan', 'bjorka', 'pak', 'polisi', 'jangan', 'tangkap', 'saya', 'ya']","['bjorka', 'polisi', 'tangkap', 'ya']"
3 kata lucu : berhasil nangkap bjorka 😂😂,3 kata lucu : berhasil nangkap bjorka 😂😂,kata lucu berhasil nangkap bjorka,kata lucu berhasil nangkap bjorka,"['kata', 'lucu', 'berhasil', 'nangkap', 'bjorka']","['lucu', 'berhasil', 'nangkap', 'bjorka']"
gmn caranya mau belajar sama mas teguh ?,gmn caranya mau belajar sama mas teguh ?,gmn caranya mau belajar sama mas teguh,bagaimana caranya mau belajar sama mas teguh,"['bagaimana', 'caranya', 'mau', 'belajar', 'sama', 'mas', 'teguh']","['belajar', 'mas', 'teguh']"
Biji kopra yg tangkap itu om ded,biji kopra yg tangkap itu om ded,biji kopra yg tangkap itu om ded,biji kopra yang tangkap itu om ded,"['biji', 'kopra', 'yang', 'tangkap', 'itu', 'om', 'ded']","['biji', 'kopra', 'tangkap', 'om', 'ded']"
Bukannya dipodcast ini juga beberapa tahun lalu kalo DUSTIN TIFANI udah mengaku kalo dia BJORKA😂😂,bukannya dipodcast ini juga beberapa tahun lalu kalo dustin tifani udah mengaku kalo dia bjorka😂😂,bukannya dipodcast ini juga beberapa tahun lalu kalo dustin tifani udah mengaku kalo dia bjorka,bukannya dipodcast ini juga beberapa tahun lalu kalo dustin tifani sudah mengaku kalo dia bjorka,"['bukannya', 'dipodcast', 'ini', 'juga', 'beberapa', 'tahun', 'lalu', 'kalo', 'dustin', 'tifani', 'sudah', 'mengaku', 'kalo', 'dia', 'bjorka']","['dipodcast', 'kalo', 'dustin', 'tifani', 'mengaku', 'kalo', 'bjorka']"
Kynya polisi bakalan nyontek disini om 😂😂😂,kynya polisi bakalan nyontek disini om 😂😂😂,kynya polisi bakalan nyontek disini om,kynya polisi bakalan nyontek disini om,"['kynya', 'polisi', 'bakalan', 'nyontek', 'disini', 'om']","['kynya', 'polisi', 'nyontek', 'om']"
17:46   LMAO 😂,17:46   lmao 😂,lmao,lmao,['lmao'],['lmao']
"Ending kisah sambo dulu gmna om ded, dah ketutup jauh tuh 😂","ending kisah sambo dulu gmna om ded, dah ketutup jauh tuh 😂",ending kisah sambo dulu gmna om ded dah ketutup jauh tuh,ending kisah sambo dulu bagaimana om ded deh ketutup jauh tuh,"['ending', 'kisah', 'sambo', 'dulu', 'bagaimana', 'om', 'ded', 'deh', 'ketutup', 'jauh', 'tuh']","['ending', 'kisah', 'sambo', 'om', 'ded', 'deh', 'ketutup', 'tuh']"
BODOHNYA PEJABAT/APARAT BANGSA INI ADALAH KALAU ORANG PUNYA KEAHLIAN JUSTRU DIANGGAP ANCAMAN.,bodohnya pejabat/aparat bangsa ini adalah kalau orang punya keahlian justru dianggap ancaman.,bodohnya pejabataparat bangsa ini adalah kalau orang punya keahlian justru dianggap ancaman,bodohnya pejabataparat bangsa ini adalah kalau orang punya keahlian justru dianggap ancaman,"['bodohnya', 'pejabataparat', 'bangsa', 'ini', 'adalah', 'kalau', 'orang', 'punya', 'keahlian', 'justru', 'dianggap', 'ancaman']","['bodohnya', 'pejabataparat', 'bangsa', 'orang', 'keahlian', 'dianggap', 'ancaman']"
1312 biar keliatan kerja. aslinya ya gitulah,1312 biar keliatan kerja. aslinya ya gitulah,biar keliatan kerja aslinya ya gitulah,biar kelihatan kerja aslinya ya begitulah,"['biar', 'kelihatan', 'kerja', 'aslinya', 'ya', 'begitulah']","['biar', 'kerja', 'aslinya', 'ya']"
"malu maluin ih baru kemarin wna lapor kehilangan hp malah ngga di gubris, sekarang salah target 😂","malu maluin ih baru kemarin wna lapor kehilangan hp malah ngga di gubris, sekarang salah target 😂",malu maluin ih baru kemarin wna lapor kehilangan hp malah ngga di gubris sekarang salah target,malu maluin ih baru kemarin wna lapor kehilangan hp malah enggak di gubris sekarang salah target,"['malu', 'maluin', 'ih', 'baru', 'kemarin', 'wna', 'lapor', 'kehilangan', 'hp', 'malah', 'enggak', 'di', 'gubris', 'sekarang', 'salah', 'target']","['malu', 'maluin', 'ih', 'kemarin', 'wna', 'lapor', 'kehilangan', 'hp', 'gubris', 'salah', 'target']"
POLISI INI EMANG SDH BOBROK BERTAHUN-TAHUN TP KOK GK DI PEMBAHARUI YA SEMUANYA 😂 SEKUAT ITU MREKA 😂,polisi ini emang sdh bobrok bertahun-tahun tp kok gk di pembaharui ya semuanya 😂 sekuat itu mreka 😂,polisi ini emang sdh bobrok bertahuntahun tp kok gk di pembaharui ya semuanya sekuat itu mreka,polisi ini memang sudah bobrok bertahuntahun tapi kok enggak di pembaharui ya semuanya sekuat itu mereka,"['polisi', 'ini', 'memang', 'sudah', 'bobrok', 'bertahuntahun', 'tapi', 'kok', 'enggak', 'di', 'pembaharui', 'ya', 'semuanya', 'sekuat', 'itu', 'mereka']","['polisi', 'bobrok', 'bertahuntahun', 'pembaharui', 'ya', 'sekuat']"
GW JUGA KETAWA NGAKAK DENGAR BERITA ITU,gw juga ketawa ngakak dengar berita itu,gw juga ketawa ngakak dengar berita itu,gue juga ketawa mengakak dengar berita itu,"['gue', 'juga', 'ketawa', 'mengakak', 'dengar', 'berita', 'itu']","['gue', 'ketawa', 'mengakak', 'dengar', 'berita']"
mantaappp,mantaappp,mantaappp,mantaappp,['mantaappp'],['mantaappp']
cba d bikin fim hahhahaa.. bjorka trnyata org pemerintahan hahahahha...,cba d bikin fim hahhahaa.. bjorka trnyata org pemerintahan hahahahha...,cba d bikin fim hahhahaa bjorka trnyata org pemerintahan hahahahha,coba di bikin fim hahhahaa bjorka ternyata orang pemerintahan hahahahha,"['coba', 'di', 'bikin', 'fim', 'hahhahaa', 'bjorka', 'ternyata', 'orang', 'pemerintahan', 'hahahahha']","['coba', 'bikin', 'fim', 'hahhahaa', 'bjorka', 'orang', 'pemerintahan', 'hahahahha']"
"Wah jadi org yg kesekian kalinya ini,, pasti gak lama lama lagi ketangkep  😆😆","wah jadi org yg kesekian kalinya ini,, pasti gak lama lama lagi ketangkep  😆😆",wah jadi org yg kesekian kalinya ini pasti gak lama lama lagi ketangkep,wah jadi orang yang kesekian kalinya ini pasti enggak lama lama lagi ketangkep,"['wah', 'jadi', 'orang', 'yang', 'kesekian', 'kalinya', 'ini', 'pasti', 'enggak', 'lama', 'lama', 'lagi', 'ketangkep']","['orang', 'kesekian', 'kalinya', 'ketangkep']"
Polisi jaman kapolri sekarang menurutku hancur banget,polisi jaman kapolri sekarang menurutku hancur banget,polisi jaman kapolri sekarang menurutku hancur banget,polisi jaman kapolri sekarang menurutku hancur banget,"['polisi', 'jaman', 'kapolri', 'sekarang', 'menurutku', 'hancur', 'banget']","['polisi', 'jaman', 'kapolri', 'menurutku', 'hancur', 'banget']"
17:56 savage,17:56 savage,savage,savage,['savage'],['savage']
Dengerin pake headset 7:47 ada suara aneh,dengerin pake headset 7:47 ada suara aneh,dengerin pake headset ada suara aneh,mendengarkan pakai headset ada suara aneh,"['mendengarkan', 'pakai', 'headset', 'ada', 'suara', 'aneh']","['mendengarkan', 'pakai', 'headset', 'suara', 'aneh']"
"Nangkep maling motor aja gak sanggup, gimana nangkep hacker ?","nangkep maling motor aja gak sanggup, gimana nangkep hacker ?",nangkep maling motor aja gak sanggup gimana nangkep hacker,nangkep maling motor saja enggak sanggup bagaimana nangkep hacker,"['nangkep', 'maling', 'motor', 'saja', 'enggak', 'sanggup', 'bagaimana', 'nangkep', 'hacker']","['nangkep', 'maling', 'motor', 'sanggup', 'nangkep', 'hacker']"
😂😂😂Indonesia banyak orang pinter tp g diapresiasi yg fyp di indo yg joget yg kasus perlendiran...yg flexing.....,😂😂😂indonesia banyak orang pinter tp g diapresiasi yg fyp di indo yg joget yg kasus perlendiran...yg flexing.....,indonesia banyak orang pinter tp g diapresiasi yg fyp di indo yg joget yg kasus perlendiranyg flexing,indonesia banyak orang pintar tapi enggak diapresiasi yang fyp di indonesia yang joget yang kasus perlendiranyg flexing,"['indonesia', 'banyak', 'orang', 'pintar', 'tapi', 'enggak', 'diapresiasi', 'yang', 'fyp', 'di', 'indonesia', 'yang', 'joget', 'yang', 'kasus', 'perlendiranyg', 'flexing']","['indonesia', 'orang', 'pintar', 'diapresiasi', 'fyp', 'indonesia', 'joget', 'perlendiranyg', 'flexing']"
Masih blm berubah ternyata,masih blm berubah ternyata,masih blm berubah ternyata,masih belum berubah ternyata,"['masih', 'belum', 'berubah', 'ternyata']",['berubah']
"ga belajar dari kasus vina cirebon ya aparat negara ini
udh tau salah tngkap juga, lanjoot  teroooss 😅😅","ga belajar dari kasus vina cirebon ya aparat negara ini
udh tau salah tngkap juga, lanjoot  teroooss 😅😅",ga belajar dari kasus vina cirebon ya aparat negara ini udh tau salah tngkap juga lanjoot teroooss,enggak belajar dari kasus vina cirebon ya aparat negara ini sudah tau salah tngkap juga lanjoot teroooss,"['enggak', 'belajar', 'dari', 'kasus', 'vina', 'cirebon', 'ya', 'aparat', 'negara', 'ini', 'sudah', 'tau', 'salah', 'tngkap', 'juga', 'lanjoot', 'teroooss']","['belajar', 'vina', 'cirebon', 'ya', 'aparat', 'negara', 'tau', 'salah', 'tngkap', 'lanjoot', 'teroooss']"
YTTA lah Impossible semudah itu. bruh A Hacker Upload what's his doing at Sosmed? Please lah 😹,ytta lah impossible semudah itu. bruh a hacker upload what's his doing at sosmed? please lah 😹,ytta lah impossible semudah itu bruh a hacker upload whats his doing at sosmed please lah,ytta lah impossible semudah itu bruh a hacker upload whats his doing at sosmed please lah,"['ytta', 'lah', 'impossible', 'semudah', 'itu', 'bruh', 'a', 'hacker', 'upload', 'whats', 'his', 'doing', 'at', 'sosmed', 'please', 'lah']","['ytta', 'impossible', 'semudah', 'bruh', 'a', 'hacker', 'upload', 'whats', 'his', 'doing', 'at', 'sosmed', 'please']"
Senyumin aja bossku,senyumin aja bossku,senyumin aja bossku,senyumi saja bossku,"['senyumi', 'saja', 'bossku']","['senyumi', 'bossku']"
Ampun dah polisi ada aja gerakan ngaco nya,ampun dah polisi ada aja gerakan ngaco nya,ampun dah polisi ada aja gerakan ngaco nya,ampun deh polisi ada saja gerakan mengaco nya,"['ampun', 'deh', 'polisi', 'ada', 'saja', 'gerakan', 'mengaco', 'nya']","['ampun', 'deh', 'polisi', 'gerakan', 'mengaco', 'nya']"
"Makan dpt gajih bukan jadi nutrisi biar pinter, malah jadi tae ,, polisi konoha.","makan dpt gajih bukan jadi nutrisi biar pinter, malah jadi tae ,, polisi konoha.",makan dpt gajih bukan jadi nutrisi biar pinter malah jadi tae polisi konoha,makan dapat gajih bukan jadi nutrisi biar pintar malah jadi tae polisi konoha,"['makan', 'dapat', 'gajih', 'bukan', 'jadi', 'nutrisi', 'biar', 'pintar', 'malah', 'jadi', 'tae', 'polisi', 'konoha']","['makan', 'gajih', 'nutrisi', 'biar', 'pintar', 'tae', 'polisi', 'konoha']"
"Terimakasih Om Dedy Corbuzier saya ada usulan untuk memajukan negeri ini:

1. Pembuatan UU MBG

2. Total anggaran MBG tidak boleh lebih dari 1%, berdasarkan negara percontohan yang melakukan program yang sama seperti Amerika Serikat (0,2%), brazil (0,53%), Cina (0,12%), dan India (0,26%).  Saat ini anggaran MBG sekitar 99 triliun atau 2,76% Terhadap APBN 2025. Sehingga jika anggaran MBG 2025 maksimal 1%, maka anggaran MBG 2025 maksimal 32,25 triliun. Kemudian ada rencana MBG 2026 sebesar 335 triliun dari total APBN 2026 sebesar 3.842,7 triliun, atau sebesar 8,71% dari apbn 2026. Harusnya MBG 2026 maksimal 1% atau maksimal anggaran 38,42 triliun 

3. MBG dilaksanakan di kantin sekolah dan tidak boleh diserahkan kepada vendor 

4. MBG dibagi menjadi 3 kategori yaitu: disubsidi penuh, disubsidi 50%, dan  tidak disubsidi serta bersifat sukarela 

5. MBG harus diganti namanya, utamanya menghilangkan kata gratis.

kemudian untuk profesionalitas dan kompetensi pejabat juga diperlukan 

6. Pembentukan Mahkamah Etik Nasional sebagai lembaga yudisial mendampingi MA dan MK

7. Undang undang etik dimana apabila ada pejabat yang disorot jelek old publik dan sudah banyak buktinya meskipun belum mencapai 2 alat bukti harus mundur 

8. Undangan Undang partai politik dimana Ketua Partai Politik tidak boleh menjadi anggota DPR DPD dan Mentri.

9. Undang-undang Mentri dimana Mentri harus dari profesional dan tidak boleh dari parpol, apabila dari parpol harus mengundurkan diri sebagai anggota parpol

10. Undang-Undang Mentri harus benar benar dibawah presiden dan merupakan orang presiden, dibolehkan anggota partai politik dari partai presiden untuk menjadi mentri dengan presentase sangat sedikit dibandingkan profesional","terimakasih om dedy corbuzier saya ada usulan untuk memajukan negeri ini:

1. pembuatan uu mbg

2. total anggaran mbg tidak boleh lebih dari 1%, berdasarkan negara percontohan yang melakukan program yang sama seperti amerika serikat (0,2%), brazil (0,53%), cina (0,12%), dan india (0,26%).  saat ini anggaran mbg sekitar 99 triliun atau 2,76% terhadap apbn 2025. sehingga jika anggaran mbg 2025 maksimal 1%, maka anggaran mbg 2025 maksimal 32,25 triliun. kemudian ada rencana mbg 2026 sebesar 335 triliun dari total apbn 2026 sebesar 3.842,7 triliun, atau sebesar 8,71% dari apbn 2026. harusnya mbg 2026 maksimal 1% atau maksimal anggaran 38,42 triliun 

3. mbg dilaksanakan di kantin sekolah dan tidak boleh diserahkan kepada vendor 

4. mbg dibagi menjadi 3 kategori yaitu: disubsidi penuh, disubsidi 50%, dan  tidak disubsidi serta bersifat sukarela 

5. mbg harus diganti namanya, utamanya menghilangkan kata gratis.

kemudian untuk profesionalitas dan kompetensi pejabat juga diperlukan 

6. pembentukan mahkamah etik nasional sebagai lembaga yudisial mendampingi ma dan mk

7. undang undang etik dimana apabila ada pejabat yang disorot jelek old publik dan sudah banyak buktinya meskipun belum mencapai 2 alat bukti harus mundur 

8. undangan undang partai politik dimana ketua partai politik tidak boleh menjadi anggota dpr dpd dan mentri.

9. undang-undang mentri dimana mentri harus dari profesional dan tidak boleh dari parpol, apabila dari parpol harus mengundurkan diri sebagai anggota parpol

10. undang-undang mentri harus benar benar dibawah presiden dan merupakan orang presiden, dibolehkan anggota partai politik dari partai presiden untuk menjadi mentri dengan presentase sangat sedikit dibandingkan profesional",terimakasih om dedy corbuzier saya ada usulan untuk memajukan negeri ini pembuatan uu mbg total anggaran mbg tidak boleh lebih dari berdasarkan negara percontohan yang melakukan program yang sama seperti amerika serikat brazil cina dan india saat ini anggaran mbg sekitar triliun atau terhadap apbn sehingga jika anggaran mbg maksimal maka anggaran mbg maksimal triliun kemudian ada rencana mbg sebesar triliun dari total apbn sebesar triliun atau sebesar dari apbn harusnya mbg maksimal atau maksimal anggaran triliun mbg dilaksanakan di kantin sekolah dan tidak boleh diserahkan kepada vendor mbg dibagi menjadi kategori yaitu disubsidi penuh disubsidi dan tidak disubsidi serta bersifat sukarela mbg harus diganti namanya utamanya menghilangkan kata gratis kemudian untuk profesionalitas dan kompetensi pejabat juga diperlukan pembentukan mahkamah etik nasional sebagai lembaga yudisial mendampingi ma dan mk undang undang etik dimana apabila ada pejabat yang disorot jelek old publik dan sudah banyak buktinya meskipun belum mencapai alat bukti harus mundur undangan undang partai politik dimana ketua partai politik tidak boleh menjadi anggota dpr dpd dan mentri undangundang mentri dimana mentri harus dari profesional dan tidak boleh dari parpol apabila dari parpol harus mengundurkan diri sebagai anggota parpol undangundang mentri harus benar benar dibawah presiden dan merupakan orang presiden dibolehkan anggota partai politik dari partai presiden untuk menjadi mentri dengan presentase sangat sedikit dibandingkan profesional,terimakasih om dedy corbuzier saya ada usulan untuk memajukan negeri ini pembuatan uu mbak total anggaran mbak tidak boleh lebih dari berdasarkan negara percontohan yang melakukan program yang sama seperti amerika serikat brazil cina dan india saat ini anggaran mbak sekitar triliun atau terhadap apbn sehingga jika anggaran mbak maksimal maka anggaran mbak maksimal triliun kemudian ada rencana mbak sebesar triliun dari total apbn sebesar triliun atau sebesar dari apbn harusnya mbak maksimal atau maksimal anggaran triliun mbak dilaksanakan di kantin sekolah dan tidak boleh diserahkan kepada vendor mbak dibagi menjadi kategori yaitu disubsidi penuh disubsidi dan tidak disubsidi serta bersifat sukarela mbak harus diganti namanya utamanya menghilangkan kata gratis kemudian untuk profesionalitas dan kompetensi pejabat juga diperlukan pembentukan mahkamah etik nasional sebagai lembaga yudisial mendampingi sama dan maka undang undang etik dimana apabila ada pejabat yang disorot jelek old publik dan sudah banyak buktinya meskipun belum mencapai alat bukti harus mundur undangan undang partai politik dimana ketua partai politik tidak boleh menjadi anggota dpr dpd dan mentri undangundang mentri dimana mentri harus dari profesional dan tidak boleh dari parpol apabila dari parpol harus mengundurkan diri sebagai anggota parpol undangundang mentri harus benar benar dibawah presiden dan merupakan orang presiden dibolehkan anggota partai politik dari partai presiden untuk menjadi mentri dengan presentase sangat sedikit dibandingkan profesional,"['terimakasih', 'om', 'dedy', 'corbuzier', 'saya', 'ada', 'usulan', 'untuk', 'memajukan', 'negeri', 'ini', 'pembuatan', 'uu', 'mbak', 'total', 'anggaran', 'mbak', 'tidak', 'boleh', 'lebih', 'dari', 'berdasarkan', 'negara', 'percontohan', 'yang', 'melakukan', 'program', 'yang', 'sama', 'seperti', 'amerika', 'serikat', 'brazil', 'cina', 'dan', 'india', 'saat', 'ini', 'anggaran', 'mbak', 'sekitar', 'triliun', 'atau', 'terhadap', 'apbn', 'sehingga', 'jika', 'anggaran', 'mbak', 'maksimal', 'maka', 'anggaran', 'mbak', 'maksimal', 'triliun', 'kemudian', 'ada', 'rencana', 'mbak', 'sebesar', 'triliun', 'dari', 'total', 'apbn', 'sebesar', 'triliun', 'atau', 'sebesar', 'dari', 'apbn', 'harusnya', 'mbak', 'maksimal', 'atau', 'maksimal', 'anggaran', 'triliun', 'mbak', 'dilaksanakan', 'di', 'kantin', 'sekolah', 'dan', 'tidak', 'boleh', 'diserahkan', 'kepada', 'vendor', 'mbak', 'dibagi', 'menjadi', 'kategori', 'yaitu', 'disubsidi', 'penuh', 'disubsidi', 'dan', 'tidak', 'disubsidi', 'serta', 'bersifat', 'sukarela', 'mbak', 'harus', 'diganti', 'namanya', 'utamanya', 'menghilangkan', 'kata', 'gratis', 'kemudian', 'untuk', 'profesionalitas', 'dan', 'kompetensi', 'pejabat', 'juga', 'diperlukan', 'pembentukan', 'mahkamah', 'etik', 'nasional', 'sebagai', 'lembaga', 'yudisial', 'mendampingi', 'sama', 'dan', 'maka', 'undang', 'undang', 'etik', 'dimana', 'apabila', 'ada', 'pejabat', 'yang', 'disorot', 'jelek', 'old', 'publik', 'dan', 'sudah', 'banyak', 'buktinya', 'meskipun', 'belum', 'mencapai', 'alat', 'bukti', 'harus', 'mundur', 'undangan', 'undang', 'partai', 'politik', 'dimana', 'ketua', 'partai', 'politik', 'tidak', 'boleh', 'menjadi', 'anggota', 'dpr', 'dpd', 'dan', 'mentri', 'undangundang', 'mentri', 'dimana', 'mentri', 'harus', 'dari', 'profesional', 'dan', 'tidak', 'boleh', 'dari', 'parpol', 'apabila', 'dari', 'parpol', 'harus', 'mengundurkan', 'diri', 'sebagai', 'anggota', 'parpol', 'undangundang', 'mentri', 'harus', 'benar', 'benar', 'dibawah', 'presiden', 'dan', 'merupakan', 'orang', 'presiden', 'dibolehkan', 'anggota', 'partai', 'politik', 'dari', 'partai', 'presiden', 'untuk', 'menjadi', 'mentri', 'dengan', 'presentase', 'sangat', 'sedikit', 'dibandingkan', 'profesional']","['terimakasih', 'om', 'dedy', 'corbuzier', 'usulan', 'memajukan', 'negeri', 'pembuatan', 'uu', 'mbak', 'total', 'anggaran', 'mbak', 'berdasarkan', 'negara', 'percontohan', 'program', 'amerika', 'serikat', 'brazil', 'cina', 'india', 'anggaran', 'mbak', 'triliun', 'apbn', 'anggaran', 'mbak', 'maksimal', 'anggaran', 'mbak', 'maksimal', 'triliun', 'rencana', 'mbak', 'triliun', 'total', 'apbn', 'triliun', 'apbn', 'mbak', 'maksimal', 'maksimal', 'anggaran', 'triliun', 'mbak', 'dilaksanakan', 'kantin', 'sekolah', 'diserahkan', 'vendor', 'mbak', 'dibagi', 'kategori', 'disubsidi', 'penuh', 'disubsidi', 'disubsidi', 'bersifat', 'sukarela', 'mbak', 'diganti', 'namanya', 'utamanya', 'menghilangkan', 'gratis', 'profesionalitas', 'kompetensi', 'pejabat', 'pembentukan', 'mahkamah', 'etik', 'nasional', 'lembaga', 'yudisial', 'mendampingi', 'undang', 'undang', 'etik', 'dimana', 'pejabat', 'disorot', 'jelek', 'old', 'publik', 'buktinya', 'mencapai', 'alat', 'bukti', 'mundur', 'undangan', 'undang', 'partai', 'politik', 'dimana', 'ketua', 'partai', 'politik', 'anggota', 'dpr', 'dpd', 'mentri', 'undangundang', 'mentri', 'dimana', 'mentri', 'profesional', 'parpol', 'parpol', 'mengundurkan', 'anggota', 'parpol', 'undangundang', 'mentri', 'dibawah', 'presiden', 'orang', 'presiden', 'dibolehkan', 'anggota', 'partai', 'politik', 'partai', 'presiden', 'mentri', 'presentase', 'dibandingkan', 'profesional']"
berita bjorka di tangkap. ehh bjorkanya masih update status 🤣🤣🤣🤣🤣,berita bjorka di tangkap. ehh bjorkanya masih update status 🤣🤣🤣🤣🤣,berita bjorka di tangkap ehh bjorkanya masih update status,berita bjorka di tangkap eh bjorkanya masih update status,"['berita', 'bjorka', 'di', 'tangkap', 'eh', 'bjorkanya', 'masih', 'update', 'status']","['berita', 'bjorka', 'tangkap', 'eh', 'bjorkanya', 'update', 'status']"
"Semua Hacker rata"" gamer yg merasakan Cheat. Dan dia ada rasa penasaran yg ada ke inginan untuk membuat Cheat game"", setelah bosan dia akan meretas media sosial, lalu Mail(digital Mail) bahkan bisa berbahaya meretas Bank Bank
Mereka Hacker rata"" haus akan Ilmu.
Yg berbahaya ituh Mencuri Kode Bank yg meretas kekurangan,God eye (yg mencuri kode CCTV Lalulintas) bahkan yg lebih berbahaya Meretas kode Nuklir.","semua hacker rata"" gamer yg merasakan cheat. dan dia ada rasa penasaran yg ada ke inginan untuk membuat cheat game"", setelah bosan dia akan meretas media sosial, lalu mail(digital mail) bahkan bisa berbahaya meretas bank bank
mereka hacker rata"" haus akan ilmu.
yg berbahaya ituh mencuri kode bank yg meretas kekurangan,god eye (yg mencuri kode cctv lalulintas) bahkan yg lebih berbahaya meretas kode nuklir.",semua hacker rata gamer yg merasakan cheat dan dia ada rasa penasaran yg ada ke inginan untuk membuat cheat game setelah bosan dia akan meretas media sosial lalu maildigital mail bahkan bisa berbahaya meretas bank bank mereka hacker rata haus akan ilmu yg berbahaya ituh mencuri kode bank yg meretas kekurangangod eye yg mencuri kode cctv lalulintas bahkan yg lebih berbahaya meretas kode nuklir,semua hacker rata gamer yang merasakan cheat dan dia ada rasa penasaran yang ada ke inginan untuk membuat cheat game setelah bosan dia akan meretas media sosial lalu maildigital mail bahkan bisa berbahaya meretas bank bank mereka hacker rata haus akan ilmu yang berbahaya itu mencuri kode bank yang meretas kekurangangod eye yang mencuri kode cctv lalulintas bahkan yang lebih berbahaya meretas kode nuklir,"['semua', 'hacker', 'rata', 'gamer', 'yang', 'merasakan', 'cheat', 'dan', 'dia', 'ada', 'rasa', 'penasaran', 'yang', 'ada', 'ke', 'inginan', 'untuk', 'membuat', 'cheat', 'game', 'setelah', 'bosan', 'dia', 'akan', 'meretas', 'media', 'sosial', 'lalu', 'maildigital', 'mail', 'bahkan', 'bisa', 'berbahaya', 'meretas', 'bank', 'bank', 'mereka', 'hacker', 'rata', 'haus', 'akan', 'ilmu', 'yang', 'berbahaya', 'itu', 'mencuri', 'kode', 'bank', 'yang', 'meretas', 'kekurangangod', 'eye', 'yang', 'mencuri', 'kode', 'cctv', 'lalulintas', 'bahkan', 'yang', 'lebih', 'berbahaya', 'meretas', 'kode', 'nuklir']","['hacker', 'gamer', 'merasakan', 'cheat', 'penasaran', 'inginan', 'cheat', 'game', 'bosan', 'meretas', 'media', 'sosial', 'maildigital', 'mail', 'berbahaya', 'meretas', 'bank', 'bank', 'hacker', 'haus', 'ilmu', 'berbahaya', 'mencuri', 'kode', 'bank', 'meretas', 'kekurangangod', 'eye', 'mencuri', 'kode', 'cctv', 'lalulintas', 'berbahaya', 'meretas', 'kode', 'nuklir']"
"berharap kt pake baju, eh ternyata baju kt di curi dan kemana mana skrng kt udah gk pake baju🥲","berharap kt pake baju, eh ternyata baju kt di curi dan kemana mana skrng kt udah gk pake baju🥲",berharap kt pake baju eh ternyata baju kt di curi dan kemana mana skrng kt udah gk pake baju,berharap kita pakai baju eh ternyata baju kita di curi dan kemana mana sekarang kita sudah enggak pakai baju,"['berharap', 'kita', 'pakai', 'baju', 'eh', 'ternyata', 'baju', 'kita', 'di', 'curi', 'dan', 'kemana', 'mana', 'sekarang', 'kita', 'sudah', 'enggak', 'pakai', 'baju']","['berharap', 'pakai', 'baju', 'eh', 'baju', 'curi', 'kemana', 'pakai', 'baju']"
"Polisi itu sebenernya tidak mau di kritik, merasa sok pintar n mengerti IT, faktanya sih emang kualitas polisinya ya masih rendah banget malu2in😂","polisi itu sebenernya tidak mau di kritik, merasa sok pintar n mengerti it, faktanya sih emang kualitas polisinya ya masih rendah banget malu2in😂",polisi itu sebenernya tidak mau di kritik merasa sok pintar n mengerti it faktanya sih emang kualitas polisinya ya masih rendah banget maluin,polisi itu sebenarnya tidak mau di kritik merasa sok pintar n mengerti itu faktanya sih memang kualitas polisinya ya masih rendah banget maluin,"['polisi', 'itu', 'sebenarnya', 'tidak', 'mau', 'di', 'kritik', 'merasa', 'sok', 'pintar', 'n', 'mengerti', 'itu', 'faktanya', 'sih', 'memang', 'kualitas', 'polisinya', 'ya', 'masih', 'rendah', 'banget', 'maluin']","['polisi', 'kritik', 'sok', 'pintar', 'n', 'mengerti', 'faktanya', 'sih', 'kualitas', 'polisinya', 'ya', 'rendah', 'banget', 'maluin']"
"Di kira masyarakat bakal menyanjung polri bisa nangkap bjorka wkwk
Yaelahhhhhhh","di kira masyarakat bakal menyanjung polri bisa nangkap bjorka wkwk
yaelahhhhhhh",di kira masyarakat bakal menyanjung polri bisa nangkap bjorka wkwk yaelahhhhhhh,di kira masyarakat bakal menyanjung polri bisa nangkap bjorka wkwk yaelahhhhhhh,"['di', 'kira', 'masyarakat', 'bakal', 'menyanjung', 'polri', 'bisa', 'nangkap', 'bjorka', 'wkwk', 'yaelahhhhhhh']","['masyarakat', 'menyanjung', 'polri', 'nangkap', 'bjorka', 'wkwk', 'yaelahhhhhhh']"
"Bjorka 🤔
Bjirlah ✅️","bjorka 🤔
bjirlah ✅️",bjorka bjirlah,bjorka bjirlah,"['bjorka', 'bjirlah']","['bjorka', 'bjirlah']"
Pakek bantuan dukun bisa nggk ya..,pakek bantuan dukun bisa nggk ya..,pakek bantuan dukun bisa nggk ya,pakai bantuan dukun bisa enggak ya,"['pakai', 'bantuan', 'dukun', 'bisa', 'enggak', 'ya']","['pakai', 'bantuan', 'dukun', 'ya']"
"berapa kali bro bilang ""sesimpel""😂","berapa kali bro bilang ""sesimpel""😂",berapa kali bro bilang sesimpel,berapa kali bro bilang sesimpel,"['berapa', 'kali', 'bro', 'bilang', 'sesimpel']","['kali', 'bro', 'bilang', 'sesimpel']"
