comment,case_folding,cleansing,normalized_reviews,tokenizing,stopwords_removed
"Alat canggih buatan ISRAEL 🇮🇱
INDO SUDAH PUNYA 😎🤭","alat canggih buatan israel 🇮🇱
indo sudah punya 😎🤭",alat canggih buatan israel indo sudah punya,alat canggih buatan israel indonesia sudah punya,"['alat', 'canggih', 'buatan', 'israel', 'indonesia', 'sudah', 'punya']","['alat', 'canggih', 'buatan', 'israel', 'indonesia']"
"Jangankan kerja di cyber tuh polisi kerja buat jalan ajah malas apalagi di Suruh utak Atik IT, polisi Indonesia itu sudah sebagian besar busuk","jangankan kerja di cyber tuh polisi kerja buat jalan ajah malas apalagi di suruh utak atik it, polisi indonesia itu sudah sebagian besar busuk",jangankan kerja di cyber tuh polisi kerja buat jalan ajah malas apalagi di suruh utak atik it polisi indonesia itu sudah sebagian besar busuk,jangankan kerja di cyber tuh polisi kerja buat jalan saja malas apalagi di suruh utak atik itu polisi indonesia itu sudah sebagian besar busuk,"['jangankan', 'kerja', 'di', 'cyber', 'tuh', 'polisi', 'kerja', 'buat', 'jalan', 'saja', 'malas', 'apalagi', 'di', 'suruh', 'utak', 'atik', 'itu', 'polisi', 'indonesia', 'itu', 'sudah', 'sebagian', 'besar', 'busuk']","['kerja', 'cyber', 'tuh', 'polisi', 'kerja', 'jalan', 'malas', 'suruh', 'utak', 'atik', 'polisi', 'indonesia', 'busuk']"
Waduh cyber jawara di bukak buset 🗿banggg udah bang,waduh cyber jawara di bukak buset 🗿banggg udah bang,waduh cyber jawara di bukak buset banggg udah bang,waduh cyber jawara di buka buset banggg sudah bang,"['waduh', 'cyber', 'jawara', 'di', 'buka', 'buset', 'banggg', 'sudah', 'bang']","['cyber', 'jawara', 'buka', 'buset', 'banggg', 'bang']"
"TRIK SIMPEL CHAT RAHASIA

Pakai fitur chat dalam game yang mendukung PM","trik simpel chat rahasia

pakai fitur chat dalam game yang mendukung pm",trik simpel chat rahasia pakai fitur chat dalam game yang mendukung pm,trik simpel chat rahasia pakai fitur chat dalam game yang mendukung pm,"['trik', 'simpel', 'chat', 'rahasia', 'pakai', 'fitur', 'chat', 'dalam', 'game', 'yang', 'mendukung', 'pm']","['trik', 'simpel', 'chat', 'rahasia', 'pakai', 'fitur', 'chat', 'game', 'mendukung', 'pm']"
Potong satu generasi..pola pikir jadul,potong satu generasi..pola pikir jadul,potong satu generasipola pikir jadul,potong satu generasipola pikir jadul,"['potong', 'satu', 'generasipola', 'pikir', 'jadul']","['potong', 'generasipola', 'pikir', 'jadul']"
"7:46 ada suara misterius,,,(haaaaaaaaaaaaaaa) 😂😅🤣😅","7:46 ada suara misterius,,,(haaaaaaaaaaaaaaa) 😂😅🤣😅",ada suara misteriushaaaaaaaaaaaaaaa,ada suara misteriushaaaaaaaaaaaaaaa,"['ada', 'suara', 'misteriushaaaaaaaaaaaaaaa']","['suara', 'misteriushaaaaaaaaaaaaaaa']"
Masih.. percaya...az,masih.. percaya...az,masih percayaaz,masih percayaaz,"['masih', 'percayaaz']",['percayaaz']
BJORKA lagi nyender makan telor gulung Ama es teh jumbo di teras sambil liat berita silop indo 😂😂,bjorka lagi nyender makan telor gulung ama es teh jumbo di teras sambil liat berita silop indo 😂😂,bjorka lagi nyender makan telor gulung ama es teh jumbo di teras sambil liat berita silop indo,bjorka lagi menyandar makan telor gulung sama es teh jumbo di teras sambil lihat berita silop indonesia,"['bjorka', 'lagi', 'menyandar', 'makan', 'telor', 'gulung', 'sama', 'es', 'teh', 'jumbo', 'di', 'teras', 'sambil', 'lihat', 'berita', 'silop', 'indonesia']","['bjorka', 'menyandar', 'makan', 'telor', 'gulung', 'es', 'teh', 'jumbo', 'teras', 'lihat', 'berita', 'silop', 'indonesia']"
"pertanyaan deddy investigasi diam2..hahah..
kalo lu jd bjorka ?","pertanyaan deddy investigasi diam2..hahah..
kalo lu jd bjorka ?",pertanyaan deddy investigasi diamhahah kalo lu jd bjorka,pertanyaan deddy investigasi diamhahah kalo lu jadi bjorka,"['pertanyaan', 'deddy', 'investigasi', 'diamhahah', 'kalo', 'lu', 'jadi', 'bjorka']","['deddy', 'investigasi', 'diamhahah', 'kalo', 'lu', 'bjorka']"
Segoblok itukah mereka 😂😂😂,segoblok itukah mereka 😂😂😂,segoblok itukah mereka,segoblok itukah mereka,"['segoblok', 'itukah', 'mereka']",['segoblok']
